Iter.,Eval.,Best,ical.rescale,ikr.rescale,IKs.rescale,INa.rescale,INaL.rescale,membrane.c0,Time m:s
18,171,2.79E+03,1.20E+00,1.31E+00,4.74E+00,1.26E+00,3.97E+00,-2.22E+00,4357.684848
19,180,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,4535.866281
20,189,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,4712.026891
21,198,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,4882.342581
22,207,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,5050.12557
23,216,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,5219.218626
24,225,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,5374.84105
25,234,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,5537.450337
26,243,2.26E+03,7.91E-01,1.69E+00,5.17E+00,7.49E-01,5.43E+00,-2.62E+00,5695.242826
27,252,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,5848.513375
28,261,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,5998.471524
29,270,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,6149.986813
30,279,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,6300.616421
31,288,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,6447.708549
32,297,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,6599.131909
33,306,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,6750.826109
34,315,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,6906.849544
35,324,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,7060.522926
36,333,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,7213.688517
37,342,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,7362.619393
38,351,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,7514.841492
39,360,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,7666.997783
40,369,2.03E+03,8.66E-01,1.53E+00,4.79E+00,8.63E-01,4.73E+00,-2.61E+00,7816.675319
41,378,2.02E+03,8.53E-01,1.52E+00,4.67E+00,8.52E-01,4.62E+00,-2.23E+00,7964.383353
42,387,2.02E+03,8.53E-01,1.52E+00,4.67E+00,8.52E-01,4.62E+00,-2.23E+00,8115.116295
43,396,1.96E+03,8.04E-01,1.58E+00,4.69E+00,7.83E-01,4.85E+00,-2.45E+00,8268.681885
44,405,1.86E+03,8.78E-01,1.64E+00,4.54E+00,7.62E-01,4.96E+00,-2.71E+00,8417.075293
45,414,1.86E+03,8.33E-01,1.64E+00,4.69E+00,7.74E-01,5.06E+00,-2.97E+00,8567.15799
46,423,1.81E+03,9.41E-01,1.63E+00,4.51E+00,8.63E-01,4.91E+00,-2.98E+00,8716.395781
47,432,1.75E+03,7.90E-01,1.65E+00,4.35E+00,9.52E-01,4.97E+00,-3.02E+00,8867.597253
48,441,1.73E+03,9.74E-01,1.64E+00,4.37E+00,1.03E+00,4.87E+00,-3.61E+00,9017.688178
49,450,1.60E+03,8.78E-01,1.76E+00,4.08E+00,1.02E+00,5.21E+00,-3.83E+00,9168.297028
50,459,1.56E+03,8.22E-01,1.72E+00,4.16E+00,1.00E+00,5.10E+00,-4.03E+00,9321.601553
51,468,1.56E+03,8.22E-01,1.72E+00,4.16E+00,1.00E+00,5.10E+00,-4.03E+00,9472.851412
52,477,1.51E+03,8.72E-01,1.69E+00,4.12E+00,9.00E-01,4.98E+00,-3.86E+00,9623.398787
53,486,1.51E+03,8.72E-01,1.69E+00,4.12E+00,9.00E-01,4.98E+00,-3.86E+00,9772.921908
54,495,1.45E+03,8.02E-01,1.78E+00,4.19E+00,8.04E-01,5.29E+00,-4.36E+00,9925.522546
55,504,1.45E+03,8.02E-01,1.78E+00,4.19E+00,8.04E-01,5.29E+00,-4.36E+00,10075.98948
56,513,1.45E+03,8.02E-01,1.78E+00,4.19E+00,8.04E-01,5.29E+00,-4.36E+00,10227.33707
57,522,1.42E+03,7.41E-01,1.87E+00,4.18E+00,7.86E-01,5.60E+00,-5.36E+00,10376.55588
58,531,1.42E+03,7.41E-01,1.87E+00,4.18E+00,7.86E-01,5.60E+00,-5.36E+00,10525.98912
59,540,1.42E+03,7.74E-01,1.82E+00,4.23E+00,8.30E-01,5.44E+00,-5.02E+00,10674.06244
60,549,1.39E+03,7.36E-01,1.85E+00,4.09E+00,7.77E-01,5.51E+00,-5.32E+00,10825.48841
61,558,1.36E+03,7.68E-01,1.88E+00,3.92E+00,8.49E-01,5.51E+00,-5.58E+00,10977.60204
62,567,1.35E+03,7.36E-01,1.86E+00,4.01E+00,7.66E-01,5.49E+00,-5.52E+00,11126.05556
63,576,1.34E+03,7.70E-01,1.84E+00,3.98E+00,7.64E-01,5.37E+00,-5.30E+00,11277.30415
64,585,1.34E+03,7.70E-01,1.84E+00,3.98E+00,7.64E-01,5.37E+00,-5.30E+00,11426.78931
65,594,1.30E+03,6.81E-01,1.90E+00,3.74E+00,8.00E-01,5.51E+00,-6.22E+00,11577.22765
66,603,1.29E+03,7.26E-01,1.81E+00,3.87E+00,8.75E-01,5.28E+00,-5.27E+00,11724.5817
67,612,1.23E+03,7.32E-01,1.81E+00,3.66E+00,9.14E-01,5.18E+00,-5.55E+00,11875.31614
68,621,1.21E+03,7.16E-01,1.80E+00,3.68E+00,9.18E-01,5.13E+00,-5.90E+00,12022.11849
69,630,1.11E+03,7.66E-01,1.68E+00,3.63E+00,9.12E-01,4.74E+00,-5.23E+00,12169.35174
70,639,1.07E+03,6.27E-01,1.76E+00,3.37E+00,8.15E-01,4.87E+00,-6.11E+00,12320.65658
71,648,1.07E+03,6.27E-01,1.76E+00,3.37E+00,8.15E-01,4.87E+00,-6.11E+00,12476.91257
72,657,9.86E+02,6.98E-01,1.67E+00,3.26E+00,8.93E-01,4.47E+00,-5.98E+00,12630.65439
73,666,9.33E+02,7.78E-01,1.59E+00,3.31E+00,9.07E-01,4.25E+00,-5.00E+00,12777.39171
74,675,9.33E+02,7.78E-01,1.59E+00,3.31E+00,9.07E-01,4.25E+00,-5.00E+00,12925.89512
75,684,7.86E+02,7.20E-01,1.58E+00,3.07E+00,8.92E-01,4.12E+00,-5.58E+00,13071.80938
76,693,7.08E+02,6.80E-01,1.55E+00,2.72E+00,9.93E-01,3.87E+00,-6.20E+00,13217.01835
77,702,7.08E+02,6.80E-01,1.55E+00,2.72E+00,9.93E-01,3.87E+00,-6.20E+00,13364.90758
78,711,7.08E+02,6.80E-01,1.55E+00,2.72E+00,9.93E-01,3.87E+00,-6.20E+00,13515.51327
79,720,7.08E+02,6.80E-01,1.55E+00,2.72E+00,9.93E-01,3.87E+00,-6.20E+00,13668.2903
80,729,6.41E+02,8.05E-01,1.45E+00,2.58E+00,1.15E+00,3.43E+00,-6.56E+00,13832.12375
81,738,5.34E+02,8.94E-01,1.39E+00,2.48E+00,1.10E+00,3.11E+00,-6.05E+00,13979.68049
