Iter.,Eval.,Best,ical.rescale,ikr.rescale,IKs.rescale,INa.rescale,INaL.rescale,membrane.c0,Time m:s
224,2025,9.91E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,35492.61918
225,2034,9.91E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,35645.79909
226,2043,9.31E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,35794.95811
227,2052,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,35944.00694
228,2061,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,36091.05323
229,2070,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,36243.21969
230,2079,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,36392.67924
231,2088,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,36543.71977
232,2097,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,36691.11443
233,2106,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,36856.68772
234,2115,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,37008.52625
235,2124,6.53E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,37157.03179
