"Iter.","Eval.","Best","ical.rescale","ikr.rescale","IKs.rescale","INa.rescale","INaL.rescale","Time m:s"
35,288,1.22881743959047835e+04,3.09385042118544806e+00,3.93345742363728712e-01,2.54029336893384761e+00,3.24638659004897479e+00,3.92910725603619682e+00,8009.560322981328
36,296,1.22881743959047835e+04,3.09385042118544806e+00,3.93345742363728712e-01,2.54029336893384761e+00,3.24638659004897479e+00,3.92910725603619682e+00,8227.8815773502
37,304,1.22881743959047835e+04,3.09385042118544806e+00,3.93345742363728712e-01,2.54029336893384761e+00,3.24638659004897479e+00,3.92910725603619682e+00,8450.039670571685
38,312,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,8678.169021066278
39,320,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,8896.217643380165
40,328,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,9122.205689806491
41,336,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,9337.430680908263
42,344,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,9573.196167387068
43,352,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,9785.73415993154
44,360,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,9998.337283153087
45,368,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,10206.03924049437
46,376,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,10418.72810921818
47,384,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,10630.777626421303
48,392,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,10856.940979395062
49,400,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,11075.028958283365
50,408,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,11290.385924242437
51,416,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,11513.468413319439
52,424,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,11744.441669855267
53,432,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,11966.478258583695
54,440,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,12196.899866469204
55,448,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,12413.841386597604
56,456,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,12645.547916837037
57,464,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,12858.958958212286
58,472,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,13061.215347461402
59,480,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,13287.21854000166
60,488,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,13498.00988734141
61,496,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,13712.62714894116
62,504,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,13930.523910921067
63,512,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,14148.13015108928
64,520,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,14363.172028660774
65,528,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,14578.093929417431
66,536,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,14803.781355712563
67,544,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,15030.506120096892
68,552,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,15256.296769540757
69,560,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,15468.681295260787
70,568,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,15685.397917509079
71,576,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,15901.104968227446
72,584,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,16113.265892460942
73,592,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,16327.764325581491
74,600,1.07102849798131410e+04,3.10022831410679478e+00,3.86693823459087593e-01,2.59618688446705459e+00,3.23411426513403777e+00,3.86377512971756376e+00,16542.138438869268
75,608,1.06431991777833409e+04,3.12624312807366822e+00,3.94223553335710963e-01,2.59051961756471849e+00,3.29884240924112193e+00,3.96079507058163571e+00,16754.11688933149
76,616,1.06192392024889232e+04,3.11741632938271440e+00,3.95973259624092633e-01,2.57640489426852648e+00,3.28125264727770238e+00,3.95673805094088227e+00,16970.77352010086
77,624,1.06192392024889232e+04,3.11741632938271440e+00,3.95973259624092633e-01,2.57640489426852648e+00,3.28125264727770238e+00,3.95673805094088227e+00,17185.228294257075
78,632,1.01353844882737321e+04,3.10346350320260012e+00,4.05438031407348687e-01,2.57692257375970790e+00,3.28485309249616853e+00,3.99811179291369800e+00,17399.001225356013
79,640,1.01353844882737321e+04,3.10346350320260012e+00,4.05438031407348687e-01,2.57692257375970790e+00,3.28485309249616853e+00,3.99811179291369800e+00,17611.1568656303
80,648,1.00234481487695812e+04,3.14820248573256123e+00,4.06767878433343111e-01,2.60721812200745040e+00,3.28826955403542431e+00,4.00043336334397726e+00,17845.099561072886
81,656,9.68838799807000032e+03,3.10952039410658898e+00,4.14601740998905621e-01,2.56499694696233460e+00,3.28821483148501592e+00,4.02647958249806504e+00,18058.50793169439
82,664,9.68838799807000032e+03,3.10952039410658898e+00,4.14601740998905621e-01,2.56499694696233460e+00,3.28821483148501592e+00,4.02647958249806504e+00,18284.365968108177
83,672,9.61785506292848186e+03,3.14248023183142333e+00,4.10626427290021745e-01,2.57364847230846339e+00,3.29316402849795731e+00,4.01523004630968394e+00,18503.15442846343
84,680,9.61785506292848186e+03,3.14248023183142333e+00,4.10626427290021745e-01,2.57364847230846339e+00,3.29316402849795731e+00,4.01523004630968394e+00,18717.635762408376
85,688,9.61785506292848186e+03,3.14248023183142333e+00,4.10626427290021745e-01,2.57364847230846339e+00,3.29316402849795731e+00,4.01523004630968394e+00,18934.60723328963
86,696,9.61585431762620283e+03,3.15085721560597598e+00,4.11951072833969201e-01,2.58749619634776096e+00,3.30293717488808092e+00,4.03900656448363282e+00,19151.35306444019
87,704,9.07020609310917825e+03,3.13103104645251173e+00,4.16375952511052194e-01,2.59512986910210142e+00,3.29841616448663411e+00,4.03698016758050304e+00,19364.31849702075
88,712,9.07020609310917825e+03,3.13103104645251173e+00,4.16375952511052194e-01,2.59512986910210142e+00,3.29841616448663411e+00,4.03698016758050304e+00,19579.72397959605
89,720,8.96692178440932730e+03,3.11936115104544287e+00,4.17317288067579950e-01,2.60056783596821983e+00,3.29915464252248025e+00,4.04422528403043380e+00,19796.543411172926
90,728,8.96692178440932730e+03,3.11936115104544287e+00,4.17317288067579950e-01,2.60056783596821983e+00,3.29915464252248025e+00,4.04422528403043380e+00,20014.26406948641
91,736,8.96692178440932730e+03,3.11936115104544287e+00,4.17317288067579950e-01,2.60056783596821983e+00,3.29915464252248025e+00,4.04422528403043380e+00,20239.608922816813
92,744,8.96692178440932730e+03,3.11936115104544287e+00,4.17317288067579950e-01,2.60056783596821983e+00,3.29915464252248025e+00,4.04422528403043380e+00,20455.54716333002
93,752,8.96692178440932730e+03,3.11936115104544287e+00,4.17317288067579950e-01,2.60056783596821983e+00,3.29915464252248025e+00,4.04422528403043380e+00,20673.308037795126
94,760,8.96692178440932730e+03,3.11936115104544287e+00,4.17317288067579950e-01,2.60056783596821983e+00,3.29915464252248025e+00,4.04422528403043380e+00,20899.906441982836
95,768,8.96692178440932730e+03,3.11936115104544287e+00,4.17317288067579950e-01,2.60056783596821983e+00,3.29915464252248025e+00,4.04422528403043380e+00,21122.091024279594
96,776,8.66982166606379906e+03,3.12936835337000696e+00,4.25767074468201334e-01,2.59154478728579996e+00,3.29914497994261779e+00,4.08338502697568462e+00,21339.40984552726
97,784,8.66982166606379906e+03,3.12936835337000696e+00,4.25767074468201334e-01,2.59154478728579996e+00,3.29914497994261779e+00,4.08338502697568462e+00,21557.764344215393
98,792,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,21776.642243202776
99,800,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,21991.46168069914
100,808,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,22207.605148106813
101,816,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,22425.061580196023
102,824,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,22654.00719724223
103,832,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,22868.655526105314
104,840,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,23081.770263072103
105,848,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,23300.866470251232
106,856,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,23518.031304500997
107,864,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,23734.991869788617
108,872,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,23958.122708234936
109,880,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,24176.744984202087
110,888,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,24401.890974331647
111,896,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,24619.047081820667
112,904,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,24836.47100679949
113,912,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,25052.474990300834
114,920,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,25271.953312769532
115,928,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,25487.687069464475
116,936,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,25707.972915530205
117,944,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,25934.22076343745
118,952,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,26150.590858228505
119,960,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,26372.06010207534
120,968,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,26592.439431782812
121,976,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,26810.60814863816
122,984,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,27062.697326019406
123,992,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,27280.42899638042
124,1000,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,27497.82895006612
125,1008,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,27711.4757540524
126,1016,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,27935.461704283953
127,1024,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,28154.0492676273
128,1032,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,28373.428993653506
129,1040,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,28593.110449895263
130,1048,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,28817.82828135416
131,1056,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,29038.019235204905
132,1064,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,29262.73608872667
133,1072,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,29487.712022650987
134,1080,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,29710.115287635475
135,1088,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,29933.288446899503
136,1096,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,30152.703629333526
137,1104,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,30374.636053789407
138,1112,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,30596.372093699872
139,1120,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,30822.083138037473
140,1128,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,31044.566228400916
141,1136,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,31266.343101564795
142,1144,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,31487.407558880746
143,1152,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,31712.421739082783
144,1160,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,31930.446025043726
145,1168,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,32147.813093662262
146,1176,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,32369.15853438899
147,1184,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,32588.04560092464
148,1192,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,32806.68222746253
149,1200,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,33030.8298744224
150,1208,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,33248.89556917921
151,1216,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,33468.65332389623
152,1224,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,33707.90284977108
153,1232,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,33931.93212865293
154,1240,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,34148.20003014058
155,1248,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,34371.27361464128
156,1256,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,34583.16885605827
157,1264,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,34803.51832592487
158,1272,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,35005.93221811578
159,1280,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,35212.75572505221
160,1288,8.66260696739397099e+03,3.13302282966456325e+00,4.29290622127699306e-01,2.57320573123571306e+00,3.29239351570274152e+00,4.09532923977683083e+00,35415.8190609552
161,1296,7.85553576888944281e+03,2.66266929567714206e+00,2.78105794066605627e+00,6.57621516288389429e+00,2.25547085640989797e+00,9.77900051748589583e+00,35627.30321518332
162,1304,7.85553576888944281e+03,2.66266929567714206e+00,2.78105794066605627e+00,6.57621516288389429e+00,2.25547085640989797e+00,9.77900051748589583e+00,35834.95024989173
