"Iter.","Eval.","Best","ical.rescale","ikr.rescale","IKs.rescale","INa.rescale","INaL.rescale","Time m:s"
0,0,inf,2.91477526354859062e+00,4.69727017232819732e-01,1.26905082503442612e+00,3.10601535160570963e+00,3.66157322517456629e+00,2.5179237127304077e-05
0,8,2.04613166043453082e+06,2.96753209150036223e+00,4.78771105618889248e-01,1.23361436930356838e+00,3.21125454281210088e+00,3.64667942584863081e+00,218.16275534778833
1,16,2.04613166043453082e+06,2.96753209150036223e+00,4.78771105618889248e-01,1.23361436930356838e+00,3.21125454281210088e+00,3.64667942584863081e+00,449.6491160131991
2,24,1.03477254502205888e+06,2.97074236688334858e+00,3.42604791918371898e-01,1.26558698456084651e+00,3.09643013520183441e+00,3.52106647645057347e+00,674.0162690207362
3,32,1.03477254502205888e+06,2.97074236688334858e+00,3.42604791918371898e-01,1.26558698456084651e+00,3.09643013520183441e+00,3.52106647645057347e+00,904.0978843420744
4,40,1.00521914170104091e+06,3.00638149156507684e+00,3.36247284200405505e-01,1.30689430616126012e+00,2.99640054983854620e+00,3.74368129262595328e+00,1131.0559171848
5,48,1.00521914170104091e+06,3.00638149156507684e+00,3.36247284200405505e-01,1.30689430616126012e+00,2.99640054983854620e+00,3.74368129262595328e+00,1353.5372359342873
6,56,1.93913676555699349e+05,3.12254953459990725e+00,3.69575188069173222e-01,1.48894971045092106e+00,2.99247768945101456e+00,3.65749224287447383e+00,1570.1928956210613
7,64,1.93913676555699349e+05,3.12254953459990725e+00,3.69575188069173222e-01,1.48894971045092106e+00,2.99247768945101456e+00,3.65749224287447383e+00,1785.5242454372346
8,72,1.85669509700801747e+05,3.34292403528986171e+00,4.01558025236001592e-01,1.27517229424189060e+00,3.07159982684144506e+00,3.59046175599272921e+00,2015.1978811845183
9,80,1.85669509700801747e+05,3.34292403528986171e+00,4.01558025236001592e-01,1.27517229424189060e+00,3.07159982684144506e+00,3.59046175599272921e+00,2244.0161995254457
10,88,1.85669509700801747e+05,3.34292403528986171e+00,4.01558025236001592e-01,1.27517229424189060e+00,3.07159982684144506e+00,3.59046175599272921e+00,2467.2122011631727
11,96,1.85669509700801747e+05,3.34292403528986171e+00,4.01558025236001592e-01,1.27517229424189060e+00,3.07159982684144506e+00,3.59046175599272921e+00,2681.2416058517992
12,104,1.73101251500738232e+05,3.13881725104254938e+00,3.79180412783906684e-01,1.49535708171891302e+00,3.17745777451488287e+00,3.59704898228278092e+00,2897.4577167592943
13,112,1.21778368232611989e+05,3.17254593200641866e+00,3.99396349350852498e-01,1.63049226367681754e+00,3.13001157067545277e+00,3.67201538982381814e+00,3118.944708928466
14,120,1.21778368232611989e+05,3.17254593200641866e+00,3.99396349350852498e-01,1.63049226367681754e+00,3.13001157067545277e+00,3.67201538982381814e+00,3340.3641527555883
15,128,1.21778368232611989e+05,3.17254593200641866e+00,3.99396349350852498e-01,1.63049226367681754e+00,3.13001157067545277e+00,3.67201538982381814e+00,3568.1481580100954
16,136,1.21778368232611989e+05,3.17254593200641866e+00,3.99396349350852498e-01,1.63049226367681754e+00,3.13001157067545277e+00,3.67201538982381814e+00,3798.8069411963224
17,144,1.21778368232611989e+05,3.17254593200641866e+00,3.99396349350852498e-01,1.63049226367681754e+00,3.13001157067545277e+00,3.67201538982381814e+00,4021.6201973594725
18,152,1.21778368232611989e+05,3.17254593200641866e+00,3.99396349350852498e-01,1.63049226367681754e+00,3.13001157067545277e+00,3.67201538982381814e+00,4244.200130369514
19,160,1.19413535825319297e+05,3.04314500830506418e+00,3.84465201089832620e-01,1.77960542211030659e+00,3.09827046762766711e+00,3.72821585606564510e+00,4472.904935114086
20,168,4.73032099934357684e+04,3.19894437235519691e+00,3.92843068994857270e-01,2.07196415158046054e+00,3.17185278900461354e+00,3.94166167973432957e+00,4688.47590193525
21,176,4.73032099934357684e+04,3.19894437235519691e+00,3.92843068994857270e-01,2.07196415158046054e+00,3.17185278900461354e+00,3.94166167973432957e+00,4909.618797916919
22,184,2.36685034449733066e+04,3.20137425215757965e+00,3.84527747491145877e-01,2.28740381708122875e+00,3.23043837551155555e+00,3.80683478407601061e+00,5107.895662706345
23,192,2.36685034449733066e+04,3.20137425215757965e+00,3.84527747491145877e-01,2.28740381708122875e+00,3.23043837551155555e+00,3.80683478407601061e+00,5323.771269772202
24,200,1.98122414438519154e+04,3.10881780016226594e+00,3.75769015707616560e-01,2.38526021372725427e+00,3.34921865570519417e+00,3.72933641386589176e+00,5540.503035183996
25,208,1.98122414438519154e+04,3.10881780016226594e+00,3.75769015707616560e-01,2.38526021372725427e+00,3.34921865570519417e+00,3.72933641386589176e+00,5771.647198218852
26,216,1.98122414438519154e+04,3.10881780016226594e+00,3.75769015707616560e-01,2.38526021372725427e+00,3.34921865570519417e+00,3.72933641386589176e+00,5995.353242747486
27,224,1.98122414438519154e+04,3.10881780016226594e+00,3.75769015707616560e-01,2.38526021372725427e+00,3.34921865570519417e+00,3.72933641386589176e+00,6212.604189131409
28,232,1.55209698558555174e+04,3.09785926344261719e+00,3.78120084548833890e-01,2.53422609988631820e+00,3.26184990690613308e+00,3.90316021758305087e+00,6426.172904610634
29,240,1.55209698558555174e+04,3.09785926344261719e+00,3.78120084548833890e-01,2.53422609988631820e+00,3.26184990690613308e+00,3.90316021758305087e+00,6652.5967239663005
30,248,1.35570608988381791e+04,3.13339899138992273e+00,3.92436268779069231e-01,2.48113054174650971e+00,3.24692764998801442e+00,3.91751700936751845e+00,6872.257827479392
31,256,1.35570608988381791e+04,3.13339899138992273e+00,3.92436268779069231e-01,2.48113054174650971e+00,3.24692764998801442e+00,3.91751700936751845e+00,7111.711100526154
32,264,1.35570608988381791e+04,3.13339899138992273e+00,3.92436268779069231e-01,2.48113054174650971e+00,3.24692764998801442e+00,3.91751700936751845e+00,7325.720752954483
33,272,1.22881743959047835e+04,3.09385042118544806e+00,3.93345742363728712e-01,2.54029336893384761e+00,3.24638659004897479e+00,3.92910725603619682e+00,7555.294635951519
34,280,1.22881743959047835e+04,3.09385042118544806e+00,3.93345742363728712e-01,2.54029336893384761e+00,3.24638659004897479e+00,3.92910725603619682e+00,7781.72469400242
